Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
00718,26547.0,35.8,18614.0,9731.0,14051.0,52.92876784570761,8142.0,896.0,11.00466715794645
00719,30588.0,37.0,17686.0,9267.0,14949.0,48.872106708513144,9648.0,2072.0,21.475953565505804
00720,22676.0,36.3,14144.0,6753.0,13414.0,59.15505380137591,6646.0,2077.0,31.25188083057478
00723,18441.0,41.7,13284.0,7643.0,10900.0,59.107423675505665,5357.0,1473.0,27.4967332462199
00725,86276.0,38.7,19961.0,11681.0,36856.0,42.71871667671195,34663.0,6418.0,18.51541990018175
00727,56503.0,38.3,29995.0,15991.0,17452.0,30.88685556519123,24297.0,2945.0,12.120837963534592
00728,41337.0,36.8,16949.0,8861.0,20580.0,49.78590608897598,13753.0,2639.0,19.18854068203301
00729,53439.0,37.0,20574.0,10603.0,22695.0,42.46898332678381,21625.0,4911.0,22.709826589595377
00730,34965.0,39.0,15097.0,10264.0,18577.0,53.13027313027313,11148.0,2597.0,23.295658414065304
00731,14382.0,41.0,15141.0,9231.0,7905.0,54.9645390070922,4691.0,666.0,14.197399275207845
00735,13063.0,40.3,20925.0,10295.0,5536.0,42.379239072188625,4349.0,517.0,11.887790296619913
00736,50335.0,39.6,20760.0,12229.0,21250.0,42.21714512764478,19453.0,2698.0,13.869326067958669
00738,33205.0,39.4,19708.0,10764.0,14727.0,44.35175425387743,13768.0,3398.0,24.68041836141778
00739,37970.0,37.5,23266.0,11919.0,14501.0,38.190676850144854,15820.0,2008.0,12.692793931731984
00740,1515.0,34.8,13750.0,7205.0,933.0,61.584158415841586,588.0,211.0,35.8843537414966
00741,5514.0,41.6,21690.0,8837.0,2396.0,43.453028654334425,1937.0,455.0,23.48993288590604
00745,53797.0,38.5,22577.0,10499.0,20351.0,37.829246984032565,22728.0,5358.0,23.57444561774023
00751,22777.0,37.2,15091.0,8302.0,13230.0,58.08491021644642,6517.0,754.0,11.569740678226177
00754,39651.0,38.9,16571.0,10026.0,19060.0,48.069405563541906,13387.0,2098.0,15.671920519907372
00757,22913.0,35.5,15674.0,9199.0,11470.0,50.05891851787195,7856.0,961.0,12.232688391038696
00765,8993.0,42.8,17934.0,8783.0,3523.0,39.174913821861445,3199.0,387.0,12.09753047827446
00766,24875.0,36.0,17611.0,8399.0,13358.0,53.700502512562814,9179.0,2374.0,25.863383810872644
00767,36340.0,39.7,15666.0,7961.0,18935.0,52.105118326912496,10675.0,2592.0,24.28103044496487
00769,39670.0,37.8,18390.0,9719.0,19329.0,48.72447693471137,12966.0,1497.0,11.545580749652938
00771,38340.0,37.0,18827.0,9825.0,18860.0,49.19144496609285,12910.0,2925.0,22.6568551510457
00772,21478.0,36.2,16734.0,7569.0,11505.0,53.56644007821957,8494.0,2389.0,28.125735813515423
00773,19497.0,39.3,18170.0,10284.0,8868.0,45.48392060316972,7867.0,2241.0,28.48608109825855
00775,1554.0,39.0,18547.0,9250.0,708.0,45.55984555984556,680.0,22.0,3.235294117647059
00777,40570.0,36.1,19229.0,9555.0,19099.0,47.07665762878975,15413.0,3653.0,23.700772075520664
00778,46765.0,36.7,29317.0,15111.0,15848.0,33.88859189564845,20227.0,2702.0,13.358382360211598
00780,13016.0,37.7,22090.0,14502.0,4744.0,36.44744929317763,5339.0,826.0,15.471061996628583
00782,18530.0,36.3,12757.0,7064.0,11134.0,60.08634646519158,5387.0,1152.0,21.384815296083165
00783,35151.0,36.4,14863.0,7444.0,19904.0,56.62427811442064,10102.0,2363.0,23.391407642051078
00784,42625.0,36.4,16141.0,8899.0,21498.0,50.43519061583578,11654.0,2017.0,17.307362279045822
00786,288.0,64.4,17039.0,10263.0,55.0,19.09722222222222,46.0,0.0,0.0
00791,50809.0,39.5,19175.0,10880.0,22611.0,44.50195831447184,16397.0,2077.0,12.666951271574069
00794,30215.0,34.2,14238.0,7326.0,18371.0,60.80092669204038,6764.0,458.0,6.771141336487285
00795,46450.0,36.9,18863.0,9250.0,23505.0,50.60279870828848,17026.0,2899.0,17.02690003524022
00901,6132.0,42.1,16870.0,26052.0,2655.0,43.297455968688844,2309.0,196.0,8.488523170203552
00906,73.0,30.9,34625.0,42718.0,6.0,8.219178082191782,51.0,0.0,0.0
00907,17382.0,47.1,29758.0,32954.0,5181.0,29.80669658267173,8430.0,838.0,9.940688018979834
00909,5616.0,37.7,15540.0,12282.0,3003.0,53.47222222222222,2530.0,526.0,20.790513833992094
00911,7444.0,48.5,30877.0,26939.0,2045.0,27.47178936055884,3765.0,434.0,11.52722443559097
00912,5979.0,40.7,18473.0,13833.0,2622.0,43.853487205218265,3058.0,608.0,19.88227599738391
00913,8122.0,28.0,6478.0,7575.0,6163.0,75.88032504309284,2640.0,1041.0,39.43181818181818
00915,29387.0,38.3,13332.0,7834.0,17967.0,61.13927927314799,13206.0,3714.0,28.123580190822352
00917,19086.0,43.4,14371.0,11443.0,10206.0,53.47375039295819,8079.0,1541.0,19.07414283946033
00918,16552.0,40.2,22405.0,20118.0,6745.0,40.750362493958434,7109.0,953.0,13.405542270361513
00920,17995.0,43.7,25000.0,14513.0,6329.0,35.170880800222285,7927.0,1005.0,12.678188469786805
