,Zipcode,Place Name,State,State Abbreviation,County,Latitude,Longitude,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
2548,10518,Cross River,New York,NY,Westchester,41.2722,-73.602,1502.0,0.0,58.0,0.0,32.0,462.0,238.0,103.0,38.0
2549,10519,Croton Falls,New York,NY,Westchester,41.3477,-73.661,207.0,0.0,57.0,0.0,0.0,31.0,0.0,56.0,2.0
2550,10520,Croton On Hudson,New York,NY,Westchester,41.218,-73.8924,12996.0,98.0,1193.0,84.0,532.0,2785.0,1874.0,515.0,347.0
2551,10522,Dobbs Ferry,New York,NY,Westchester,41.0118,-73.8665,11055.0,19.0,1373.0,168.0,328.0,1937.0,1520.0,541.0,207.0
2552,10523,Elmsford,New York,NY,Westchester,41.0572,-73.8136,8752.0,33.0,1029.0,165.0,447.0,1405.0,833.0,198.0,78.0
2553,10524,Garrison,New York,NY,Putnam,41.3621,-73.92,4252.0,40.0,638.0,41.0,158.0,878.0,507.0,151.0,98.0
2554,10526,Goldens Bridge,New York,NY,Westchester,41.3004,-73.6479,1662.0,14.0,31.0,0.0,39.0,386.0,330.0,116.0,33.0
2555,10527,Granite Springs,New York,NY,Westchester,41.3098,-73.753,877.0,3.0,52.0,5.0,58.0,152.0,174.0,41.0,14.0
2556,10528,Harrison,New York,NY,Westchester,40.9719,-73.7181,12451.0,161.0,1548.0,88.0,439.0,2581.0,1206.0,475.0,173.0
2557,10530,Hartsdale,New York,NY,Westchester,41.0197,-73.8074,13011.0,46.0,1143.0,215.0,594.0,2983.0,2575.0,676.0,227.0
2558,10532,Hawthorne,New York,NY,Westchester,41.1073,-73.796,4945.0,25.0,868.0,57.0,262.0,818.0,464.0,71.0,29.0
2559,10533,Irvington,New York,NY,Westchester,41.0381,-73.8597,7487.0,26.0,479.0,28.0,198.0,1571.0,1245.0,575.0,181.0
2560,10535,Jefferson Valley,New York,NY,Westchester,41.3385,-73.7947,717.0,0.0,140.0,63.0,10.0,207.0,64.0,17.0,0.0
2561,10536,Katonah,New York,NY,Westchester,41.2709,-73.6841,11022.0,38.0,718.0,45.0,350.0,2587.0,1636.0,577.0,222.0
2562,10537,Lake Peekskill,New York,NY,Putnam,41.3374,-73.8838,1842.0,59.0,185.0,31.0,142.0,425.0,143.0,16.0,57.0
2563,10538,Larchmont,New York,NY,Westchester,40.9351,-73.7571,16841.0,73.0,777.0,47.0,317.0,4309.0,2672.0,1248.0,500.0
2564,10541,Mahopac,New York,NY,Putnam,41.3717,-73.7508,26850.0,45.0,4778.0,325.0,1501.0,4047.0,2176.0,310.0,398.0
2565,10543,Mamaroneck,New York,NY,Westchester,40.9525,-73.735,20516.0,468.0,2644.0,224.0,477.0,3370.0,2692.0,708.0,286.0
2566,10545,Maryknoll,New York,NY,Westchester,41.119,-73.733,129.0,0.0,25.0,0.0,0.0,47.0,39.0,0.0,0.0
2567,10546,Millwood,New York,NY,Westchester,41.2015,-73.7926,1265.0,3.0,108.0,6.0,23.0,209.0,248.0,57.0,54.0
2568,10547,Mohegan Lake,New York,NY,Westchester,41.3143,-73.8508,7045.0,46.0,996.0,64.0,464.0,1173.0,643.0,60.0,54.0
2569,10548,Montrose,New York,NY,Westchester,41.2496,-73.9446,3156.0,2.0,497.0,79.0,219.0,529.0,263.0,18.0,10.0
2570,10549,Mount Kisco,New York,NY,Westchester,41.205,-73.7299,16353.0,105.0,1597.0,174.0,536.0,2827.0,1899.0,775.0,239.0
2571,10550,Mount Vernon,New York,NY,Westchester,40.9079,-73.83800000000001,37543.0,435.0,7501.0,807.0,1856.0,2788.0,1244.0,163.0,45.0
2572,10552,Mount Vernon,New York,NY,Westchester,40.9231,-73.8299,19607.0,195.0,3101.0,333.0,906.0,3453.0,2156.0,447.0,224.0
2573,10553,Mount Vernon,New York,NY,Westchester,40.9086,-73.8221,10850.0,100.0,1609.0,165.0,487.0,1360.0,640.0,72.0,93.0
2574,10560,North Salem,New York,NY,Westchester,41.3414,-73.5929,4810.0,31.0,593.0,30.0,156.0,1380.0,392.0,212.0,28.0
2575,10562,Ossining,New York,NY,Westchester,41.1673,-73.8538,31453.0,308.0,4112.0,601.0,1151.0,4439.0,3012.0,594.0,543.0
2576,10566,Peekskill,New York,NY,Westchester,41.2892,-73.9184,23928.0,240.0,4849.0,567.0,1050.0,2717.0,1321.0,264.0,198.0
2577,10567,Cortlandt Manor,New York,NY,Westchester,41.284,-73.8931,20741.0,70.0,2457.0,290.0,1257.0,3178.0,2923.0,646.0,274.0
2578,10570,Pleasantville,New York,NY,Westchester,41.135,-73.7845,12889.0,35.0,1115.0,60.0,334.0,2631.0,1633.0,614.0,291.0
2579,10573,Port Chester,New York,NY,Westchester,41.0222,-73.6798,38817.0,531.0,5759.0,616.0,1163.0,5011.0,2569.0,739.0,208.0
2580,10576,Pound Ridge,New York,NY,Westchester,41.2042,-73.5732,4803.0,13.0,328.0,38.0,87.0,1065.0,795.0,563.0,125.0
2581,10577,Purchase,New York,NY,Westchester,41.0384,-73.7156,6486.0,0.0,163.0,13.0,52.0,621.0,425.0,154.0,96.0
2582,10578,Purdys,New York,NY,Westchester,41.3259,-73.6551,714.0,0.0,40.0,0.0,28.0,143.0,59.0,17.0,37.0
2583,10579,Putnam Valley,New York,NY,Putnam,41.3728,-73.8502,9192.0,76.0,1481.0,158.0,713.0,1655.0,819.0,141.0,44.0
2584,10580,Rye,New York,NY,Westchester,40.9734,-73.6907,17358.0,53.0,838.0,132.0,463.0,4177.0,2743.0,1137.0,270.0
2585,10583,Scarsdale,New York,NY,Westchester,40.9927,-73.7995,39996.0,151.0,2076.0,211.0,1007.0,7828.0,6927.0,4181.0,1458.0
2586,10588,Shrub Oak,New York,NY,Westchester,41.3286,-73.8273,2723.0,19.0,420.0,24.0,138.0,555.0,304.0,10.0,11.0
2587,10589,Somers,New York,NY,Westchester,41.3346,-73.6951,9102.0,81.0,1182.0,41.0,434.0,2114.0,1361.0,335.0,239.0
2588,10590,South Salem,New York,NY,Westchester,41.2553,-73.5402,7111.0,3.0,587.0,15.0,129.0,1851.0,1037.0,295.0,136.0
2589,10591,Tarrytown,New York,NY,Westchester,41.0897,-73.844,23185.0,167.0,2711.0,257.0,688.0,3749.0,2767.0,805.0,553.0
2590,10594,Thornwood,New York,NY,Westchester,41.1182,-73.7733,5172.0,15.0,767.0,58.0,288.0,812.0,538.0,109.0,35.0
2591,10595,Valhalla,New York,NY,Westchester,41.0856,-73.7776,8369.0,26.0,907.0,310.0,420.0,1163.0,1069.0,307.0,56.0
2592,10596,Verplanck,New York,NY,Westchester,41.2548,-73.9587,1657.0,0.0,268.0,55.0,60.0,30.0,62.0,19.0,0.0
2593,10597,Waccabuc,New York,NY,Westchester,41.3032,-73.6032,1058.0,0.0,7.0,0.0,0.0,259.0,184.0,95.0,36.0
2594,10598,Yorktown Heights,New York,NY,Westchester,41.2999,-73.7924,30030.0,105.0,3616.0,301.0,1834.0,5370.0,3773.0,698.0,465.0
2595,10601,White Plains,New York,NY,Westchester,41.033,-73.7652,11787.0,94.0,1122.0,147.0,834.0,2127.0,1138.0,642.0,398.0
2596,10603,White Plains,New York,NY,Westchester,41.0499,-73.7776,17223.0,64.0,1881.0,141.0,731.0,3127.0,2364.0,603.0,139.0
2597,10604,West Harrison,New York,NY,Westchester,41.0592,-73.7395,11808.0,173.0,2421.0,86.0,607.0,1709.0,793.0,422.0,95.0
2598,10605,White Plains,New York,NY,Westchester,41.0141,-73.7552,18118.0,231.0,1797.0,166.0,657.0,3562.0,2698.0,1095.0,407.0
2599,10606,White Plains,New York,NY,Westchester,41.0247,-73.7781,17489.0,201.0,2618.0,195.0,642.0,2569.0,1345.0,524.0,240.0
2600,10607,White Plains,New York,NY,Westchester,41.0398,-73.8117,6307.0,125.0,648.0,113.0,363.0,1176.0,795.0,331.0,109.0
