Zipcode,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
84315,8319.0,28.0,1238.0,99.0,553.0,751.0,317.0,14.0,50.0
84316,237.0,3.0,83.0,8.0,4.0,8.0,1.0,0.0,0.0
84317,2380.0,16.0,335.0,31.0,122.0,363.0,260.0,43.0,21.0
84318,4224.0,5.0,404.0,30.0,176.0,606.0,248.0,25.0,90.0
84319,8068.0,59.0,1087.0,111.0,296.0,797.0,130.0,36.0,26.0
84320,2474.0,0.0,432.0,24.0,96.0,263.0,79.0,5.0,23.0
84321,45611.0,300.0,3502.0,560.0,1657.0,5324.0,1559.0,223.0,510.0
84324,674.0,0.0,116.0,12.0,42.0,103.0,52.0,3.0,5.0
84325,2033.0,0.0,238.0,33.0,114.0,292.0,73.0,8.0,57.0
84326,1870.0,0.0,229.0,34.0,59.0,239.0,159.0,11.0,4.0
84327,994.0,4.0,159.0,8.0,41.0,136.0,40.0,6.0,3.0
84328,1670.0,0.0,236.0,15.0,97.0,198.0,124.0,10.0,27.0
84329,99.0,0.0,48.0,0.0,4.0,5.0,0.0,0.0,0.0
84330,410.0,0.0,111.0,14.0,13.0,23.0,13.0,0.0,0.0
84331,342.0,0.0,69.0,14.0,15.0,20.0,0.0,1.0,2.0
84332,7384.0,0.0,627.0,88.0,286.0,1151.0,603.0,37.0,122.0
84333,2867.0,0.0,518.0,55.0,90.0,310.0,98.0,18.0,24.0
84334,470.0,0.0,39.0,0.0,55.0,43.0,0.0,0.0,0.0
84335,12166.0,58.0,1578.0,101.0,570.0,1370.0,433.0,65.0,104.0
84336,309.0,0.0,68.0,14.0,16.0,5.0,1.0,0.0,0.0
84337,11647.0,117.0,1516.0,256.0,475.0,883.0,231.0,86.0,12.0
84338,399.0,0.0,88.0,8.0,23.0,31.0,9.0,0.0,1.0
84339,4853.0,14.0,690.0,47.0,225.0,438.0,264.0,9.0,18.0
84340,3770.0,22.0,581.0,172.0,223.0,326.0,122.0,5.0,19.0
84341,21739.0,68.0,1538.0,201.0,645.0,2829.0,997.0,234.0,625.0
84401,36021.0,292.0,5790.0,899.0,1771.0,2779.0,930.0,117.0,206.0
84403,37843.0,332.0,4805.0,549.0,2279.0,4611.0,1837.0,546.0,354.0
84404,59051.0,333.0,9961.0,1769.0,2600.0,4167.0,1235.0,107.0,146.0
84405,31472.0,87.0,5030.0,553.0,1726.0,3181.0,1164.0,82.0,137.0
84414,28311.0,18.0,3703.0,476.0,1681.0,3978.0,1477.0,152.0,105.0
84501,13323.0,10.0,1818.0,242.0,1118.0,977.0,275.0,60.0,63.0
84511,4831.0,74.0,543.0,58.0,256.0,393.0,211.0,12.0,36.0
84512,933.0,30.0,186.0,9.0,30.0,116.0,146.0,0.0,0.0
84513,1758.0,0.0,355.0,22.0,144.0,121.0,34.0,8.0,12.0
84515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84516,171.0,0.0,49.0,2.0,8.0,2.0,0.0,0.0,0.0
84518,836.0,0.0,100.0,20.0,77.0,59.0,2.0,17.0,1.0
84520,1107.0,3.0,201.0,49.0,74.0,19.0,0.0,0.0,0.0
84521,709.0,0.0,158.0,10.0,57.0,25.0,28.0,0.0,0.0
84522,342.0,0.0,79.0,5.0,33.0,23.0,0.0,3.0,2.0
84523,1672.0,0.0,308.0,12.0,133.0,111.0,24.0,0.0,0.0
84525,1244.0,2.0,232.0,24.0,15.0,90.0,9.0,0.0,0.0
84526,4241.0,5.0,630.0,127.0,393.0,313.0,46.0,38.0,9.0
84528,2377.0,18.0,444.0,41.0,246.0,133.0,19.0,0.0,0.0
84529,123.0,0.0,6.0,10.0,20.0,8.0,23.0,0.0,0.0
84530,448.0,0.0,29.0,18.0,82.0,0.0,19.0,0.0,0.0
84531,983.0,76.0,206.0,10.0,24.0,15.0,0.0,0.0,0.0
84532,9604.0,36.0,1386.0,244.0,737.0,1195.0,326.0,44.0,43.0
84533,192.0,0.0,72.0,0.0,12.0,20.0,0.0,0.0,0.0
84534,2170.0,84.0,433.0,51.0,84.0,75.0,7.0,0.0,3.0
84535,2835.0,0.0,325.0,137.0,173.0,227.0,148.0,9.0,18.0
84536,2112.0,67.0,511.0,20.0,108.0,40.0,31.0,0.0,0.0
84537,1619.0,0.0,250.0,52.0,95.0,74.0,7.0,10.0,12.0
84539,373.0,0.0,78.0,12.0,27.0,13.0,5.0,3.0,0.0
84540,85.0,0.0,22.0,0.0,19.0,0.0,0.0,0.0,0.0
84542,1802.0,0.0,344.0,26.0,161.0,75.0,44.0,6.0,8.0
84601,34910.0,277.0,3209.0,273.0,1571.0,3509.0,695.0,91.0,123.0
84604,46832.0,186.0,1481.0,248.0,1612.0,5817.0,2535.0,554.0,1122.0
84606,34086.0,48.0,1340.0,131.0,995.0,3756.0,932.0,136.0,167.0
84620,1069.0,0.0,278.0,9.0,124.0,61.0,45.0,0.0,5.0
84621,235.0,0.0,65.0,25.0,17.0,0.0,10.0,0.0,0.0
84622,1527.0,3.0,196.0,23.0,145.0,87.0,7.0,3.0,0.0
84623,362.0,0.0,56.0,27.0,0.0,81.0,44.0,0.0,0.0
84624,5628.0,58.0,840.0,99.0,235.0,588.0,142.0,18.0,9.0
84626,279.0,0.0,24.0,0.0,24.0,27.0,10.0,0.0,0.0
84627,6808.0,0.0,387.0,50.0,371.0,442.0,201.0,33.0,63.0
84628,737.0,0.0,202.0,28.0,46.0,34.0,10.0,7.0,8.0
84629,3050.0,0.0,579.0,50.0,167.0,178.0,110.0,0.0,6.0
84630,473.0,0.0,23.0,5.0,36.0,34.0,4.0,1.0,3.0
