,County,Population,None,GED,High School Degree,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
0,Abbeville,20388.0,127.0,800.0,4246.0,1219.0,1108.0,350.0,83.0,68.0
1,Acadia,60580.0,621.0,2260.0,12652.0,2463.0,2966.0,691.0,222.0,108.0
2,Accomack,33115.0,269.0,1045.0,8386.0,1450.0,2612.0,1367.0,279.0,182.0
3,Ada,366618.0,1771.0,10165.0,40385.0,21697.0,60359.0,21031.0,6060.0,3509.0
4,Adair,72517.0,348.0,2865.0,14538.0,2885.0,5154.0,2410.0,464.0,653.0
5,Adams,822409.0,8464.0,29043.0,146797.0,44805.0,72993.0,28754.0,4980.0,3002.0
6,Addison,36358.0,106.0,846.0,6991.0,1908.0,5117.0,2617.0,520.0,621.0
7,Aiken,165345.0,1093.0,5902.0,29103.0,8794.0,18337.0,7906.0,1586.0,1439.0
8,Aitkin,16055.0,48.0,603.0,4257.0,1382.0,1370.0,439.0,124.0,45.0
9,Alachua,266511.0,1455.0,6172.0,29535.0,16953.0,33513.0,16720.0,6584.0,7744.0
10,Alamance,162092.0,1458.0,6557.0,24896.0,10470.0,16114.0,5328.0,1021.0,1071.0
11,Alameda,1590894.0,25752.0,17410.0,184655.0,73584.0,274193.0,135848.0,31420.0,31421.0
12,Alamosa,16287.0,194.0,492.0,1927.0,533.0,1309.0,735.0,124.0,171.0
13,Albany,325691.0,1828.0,7248.0,46798.0,22866.0,43380.0,27217.0,6421.0,5457.0
14,Albemarle,81608.0,683.0,1522.0,11022.0,3661.0,13492.0,8451.0,2804.0,2662.0
15,Alcona,10139.0,109.0,401.0,2797.0,691.0,728.0,250.0,74.0,67.0
16,Alcorn,36184.0,345.0,1976.0,6881.0,2250.0,2557.0,988.0,353.0,154.0
17,Aleutians East,3304.0,10.0,79.0,914.0,155.0,306.0,39.0,0.0,9.0
18,Aleutians West (CA),5473.0,17.0,152.0,1241.0,184.0,380.0,138.0,6.0,16.0
19,Alexander,44965.0,634.0,2552.0,9563.0,2632.0,2312.0,792.0,157.0,174.0
20,Alfalfa,5924.0,32.0,437.0,1367.0,224.0,682.0,199.0,9.0,16.0
21,Alger,9323.0,57.0,680.0,2476.0,528.0,969.0,318.0,18.0,46.0
22,Allamakee,14235.0,30.0,397.0,3800.0,968.0,1177.0,309.0,102.0,41.0
23,Allegan,98980.0,610.0,3125.0,22896.0,5560.0,9204.0,3189.0,473.0,385.0
24,Allegany,122917.0,677.0,5083.0,28712.0,8632.0,7858.0,5692.0,771.0,901.0
25,Alleghany,17686.0,103.0,728.0,3743.0,1296.0,1436.0,525.0,126.0,74.0
26,Allegheny,1219265.0,6798.0,30619.0,229223.0,81243.0,190964.0,93184.0,24520.0,18371.0
27,Allen,515908.0,3337.0,15635.0,94066.0,31940.0,49713.0,21015.0,5177.0,2412.0
28,Allendale,9929.0,52.0,439.0,2309.0,477.0,689.0,151.0,0.0,24.0
29,Alpena,29221.0,178.0,918.0,6241.0,2827.0,2178.0,1068.0,284.0,103.0
30,Alpine,1139.0,4.0,61.0,170.0,55.0,118.0,50.0,10.0,38.0
31,Amador,37062.0,304.0,1229.0,6533.0,2648.0,4187.0,1197.0,504.0,201.0
32,Amelia,12247.0,258.0,658.0,2137.0,579.0,1013.0,218.0,40.0,23.0
33,Amherst,31313.0,325.0,1407.0,6488.0,1833.0,2704.0,1154.0,55.0,125.0
34,Amite,12045.0,402.0,550.0,2683.0,453.0,610.0,235.0,13.0,39.0
35,Anchorage Municipality,299810.0,1831.0,8452.0,37555.0,15915.0,39718.0,16217.0,4663.0,2358.0
36,Anderson,330580.0,3259.0,16559.0,61083.0,19119.0,26180.0,11627.0,2137.0,2688.0
37,Andrew,37315.0,101.0,1608.0,7304.0,1433.0,4035.0,1774.0,431.0,308.0
38,Andrews,16775.0,264.0,665.0,2687.0,665.0,880.0,216.0,16.0,54.0
39,Androscoggin,107393.0,493.0,5226.0,22330.0,7926.0,10296.0,3485.0,775.0,493.0
40,Angelina,88152.0,1035.0,3681.0,14338.0,4050.0,5708.0,2345.0,423.0,158.0
41,Anne Arundel,571243.0,2515.0,11887.0,85649.0,28684.0,85635.0,45334.0,8891.0,6029.0
42,Anoka,319718.0,2228.0,8094.0,52786.0,26344.0,42991.0,12909.0,2462.0,1642.0
43,Anson,26214.0,156.0,1171.0,6415.0,1402.0,1195.0,360.0,89.0,140.0
44,Antelope,5423.0,17.0,84.0,1236.0,569.0,528.0,132.0,38.0,12.0
45,Antrim,20701.0,259.0,586.0,4786.0,1206.0,2355.0,1111.0,190.0,125.0
46,Apache,73373.0,1811.0,1574.0,13006.0,3296.0,2962.0,1540.0,101.0,120.0
47,Appanoose,12864.0,85.0,390.0,2925.0,875.0,1143.0,312.0,87.0,15.0
48,Appling,20181.0,180.0,976.0,4750.0,575.0,978.0,345.0,201.0,64.0
49,Appomattox,14903.0,113.0,622.0,3307.0,889.0,1040.0,567.0,147.0,116.0
50,Aransas,21238.0,165.0,1132.0,3976.0,823.0,2071.0,851.0,150.0,141.0
51,Arapahoe,553935.0,3297.0,11826.0,63078.0,31312.0,94521.0,38478.0,8556.0,4717.0
52,Archer,6357.0,47.0,309.0,1495.0,352.0,550.0,77.0,11.0,0.0
53,Archuleta,11983.0,32.0,307.0,2038.0,699.0,2100.0,690.0,163.0,186.0
54,Arenac,14042.0,168.0,548.0,3908.0,844.0,743.0,362.0,33.0,14.0
55,Arkansas,19415.0,218.0,887.0,4804.0,752.0,1101.0,473.0,18.0,69.0
56,Arlington,224466.0,2943.0,1503.0,12505.0,6105.0,58075.0,43526.0,14506.0,7127.0
57,Armstrong,66521.0,412.0,2443.0,20330.0,4515.0,5774.0,1798.0,296.0,387.0
58,Aroostook,69716.0,548.0,2876.0,16940.0,4853.0,6155.0,1862.0,430.0,319.0
59,Arthur,406.0,0.0,10.0,54.0,39.0,70.0,12.0,1.0,1.0
60,Ascension,114910.0,433.0,3384.0,21980.0,5078.0,13916.0,4065.0,754.0,362.0
61,Ashe,28468.0,236.0,823.0,5799.0,2274.0,2673.0,991.0,163.0,116.0
62,Ashland,69463.0,436.0,1916.0,16900.0,3946.0,6370.0,2699.0,414.0,572.0
63,Ashley,21734.0,230.0,786.0,5289.0,722.0,1310.0,443.0,78.0,100.0
64,Ashtabula,100421.0,669.0,4051.0,27123.0,5051.0,6210.0,2380.0,454.0,237.0
65,Asotin,22113.0,76.0,784.0,3998.0,1541.0,2005.0,634.0,114.0,78.0
66,Assumption,20578.0,338.0,908.0,4714.0,713.0,982.0,376.0,59.0,31.0
67,Atascosa,41924.0,550.0,1622.0,7849.0,1454.0,2416.0,1096.0,197.0,69.0
68,Atchison,21499.0,31.0,809.0,4793.0,1073.0,1880.0,659.0,118.0,185.0
69,Athens,70778.0,178.0,1331.0,11863.0,3927.0,5347.0,3873.0,460.0,1359.0
70,Atkinson,9301.0,182.0,435.0,2038.0,384.0,307.0,103.0,25.0,11.0
71,Atlantic,275230.0,2973.0,6407.0,55062.0,12830.0,32079.0,10631.0,3128.0,1267.0
72,Atoka,12552.0,88.0,788.0,2740.0,423.0,833.0,328.0,20.0,21.0
73,Attala,19931.0,233.0,696.0,3531.0,973.0,1150.0,568.0,132.0,34.0
74,Audrain,23794.0,170.0,1532.0,6371.0,1040.0,1259.0,413.0,156.0,75.0
75,Audubon,5665.0,10.0,156.0,1605.0,510.0,422.0,88.0,42.0,23.0
76,Auglaize,56344.0,222.0,1302.0,15118.0,4326.0,4616.0,1885.0,392.0,122.0
