,County,Population,None,GED,High School Degree,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
77,Augusta,48290.0,162.0,2591.0,11527.0,2222.0,4797.0,1966.0,286.0,361.0
78,Aurora,2662.0,7.0,62.0,596.0,245.0,217.0,73.0,13.0,22.0
79,Austin,31308.0,479.0,934.0,5535.0,1883.0,2989.0,940.0,144.0,103.0
80,Autauga,53022.0,624.0,2158.0,9227.0,2746.0,4899.0,2912.0,506.0,191.0
81,Avery,18904.0,165.0,601.0,3153.0,1224.0,2121.0,1052.0,166.0,75.0
82,Avoyelles,41321.0,332.0,2089.0,9519.0,1382.0,1726.0,680.0,137.0,58.0
83,Baca,3757.0,23.0,88.0,765.0,262.0,387.0,80.0,43.0,3.0
84,Bacon,10335.0,94.0,433.0,2213.0,509.0,514.0,245.0,45.0,26.0
85,Bailey,7487.0,109.0,283.0,1155.0,207.0,251.0,101.0,22.0,30.0
86,Baker,81950.0,436.0,3530.0,16652.0,3930.0,6820.0,2723.0,932.0,661.0
87,Baldwin,239220.0,1314.0,8888.0,40773.0,14229.0,28763.0,10991.0,2914.0,1806.0
88,Ballard,6396.0,20.0,356.0,1334.0,421.0,385.0,217.0,31.0,18.0
89,Baltimore,793971.0,4677.0,19241.0,131445.0,38347.0,112602.0,56656.0,14886.0,9683.0
90,Baltimore (city),631689.0,5606.0,20036.0,102964.0,19514.0,69704.0,40944.0,13402.0,9544.0
91,Bamberg,15164.0,195.0,172.0,2403.0,1098.0,1141.0,432.0,69.0,46.0
92,Bandera,20438.0,71.0,652.0,3887.0,1340.0,2389.0,707.0,60.0,260.0
93,Banks,12694.0,171.0,885.0,2870.0,696.0,668.0,203.0,25.0,24.0
94,Banner,501.0,0.0,9.0,93.0,41.0,46.0,19.0,3.0,7.0
95,Bannock,85866.0,322.0,2796.0,11472.0,4943.0,9087.0,2943.0,917.0,908.0
96,Baraga,8233.0,47.0,961.0,1839.0,391.0,518.0,177.0,34.0,21.0
97,Barber,4700.0,12.0,122.0,1101.0,294.0,396.0,218.0,37.0,25.0
98,Barbour,41404.0,426.0,2534.0,8660.0,1991.0,2143.0,1057.0,174.0,104.0
99,Barnes,11114.0,31.0,362.0,2122.0,916.0,1467.0,347.0,50.0,82.0
100,Barnstable,217053.0,693.0,4034.0,37633.0,15301.0,38259.0,20404.0,4386.0,3478.0
101,Barnwell,22823.0,284.0,501.0,4849.0,1606.0,1378.0,382.0,12.0,26.0
102,Barren,39970.0,441.0,2245.0,9025.0,1860.0,2511.0,1333.0,365.0,139.0
103,Barron,45320.0,171.0,1116.0,11672.0,4119.0,3427.0,1408.0,383.0,137.0
104,Barrow,77048.0,723.0,3647.0,13521.0,4337.0,5841.0,1940.0,545.0,221.0
105,Barry,87505.0,504.0,2773.0,20013.0,5208.0,6772.0,2866.0,586.0,226.0
106,Bartholomew,80371.0,453.0,2873.0,16018.0,4701.0,9700.0,4996.0,636.0,487.0
107,Barton,39377.0,239.0,1451.0,7864.0,2687.0,3246.0,900.0,183.0,117.0
108,Bartow,101179.0,677.0,4389.0,18514.0,4806.0,7788.0,2984.0,992.0,382.0
109,Bastrop,77293.0,882.0,3281.0,12712.0,3607.0,6411.0,2314.0,455.0,462.0
110,Bates,18368.0,59.0,650.0,4763.0,770.0,1084.0,618.0,43.0,28.0
111,Bath,17742.0,141.0,889.0,3990.0,842.0,1249.0,485.0,135.0,24.0
112,Baxter,40466.0,140.0,2271.0,8769.0,2407.0,4074.0,1107.0,288.0,97.0
113,Bay,280707.0,2158.0,10512.0,52845.0,21558.0,27132.0,10477.0,2273.0,1338.0
114,Bayfield,12597.0,31.0,266.0,2591.0,1048.0,1834.0,750.0,142.0,117.0
115,Baylor,3656.0,45.0,186.0,652.0,201.0,518.0,138.0,12.0,15.0
116,Beadle,18042.0,334.0,420.0,3651.0,1331.0,1910.0,439.0,41.0,34.0
117,Bear Lake,5766.0,37.0,125.0,1385.0,314.0,564.0,95.0,17.0,17.0
118,Beaufort,201478.0,1459.0,4826.0,31226.0,12158.0,27446.0,12490.0,3056.0,1894.0
119,Beauregard,39579.0,329.0,1703.0,9191.0,1554.0,2863.0,850.0,194.0,108.0
120,Beaver,174092.0,849.0,4358.0,43803.0,13648.0,19067.0,7531.0,1324.0,672.0
121,Beaverhead,9219.0,11.0,311.0,1544.0,436.0,1243.0,349.0,106.0,196.0
122,Becker,31804.0,94.0,924.0,6280.0,2684.0,3558.0,1004.0,336.0,199.0
123,Beckham,23657.0,189.0,948.0,5262.0,933.0,1802.0,605.0,152.0,195.0
124,Bedford,152942.0,1310.0,6292.0,36131.0,7954.0,14033.0,5378.0,1346.0,804.0
125,Bedford (city),19281.0,144.0,801.0,4041.0,1182.0,1668.0,851.0,138.0,4.0
126,Bee,31714.0,411.0,2658.0,4422.0,1563.0,1323.0,532.0,76.0,119.0
127,Belknap,65186.0,244.0,1874.0,13120.0,5083.0,8889.0,3537.0,866.0,396.0
128,Bell,368169.0,2675.0,12685.0,50310.0,21256.0,30929.0,11409.0,3292.0,1837.0
129,Belmont,68111.0,318.0,1863.0,19688.0,4982.0,4687.0,2345.0,321.0,217.0
130,Beltrami,45952.0,131.0,1570.0,5795.0,3603.0,4915.0,1642.0,360.0,587.0
131,Ben Hill,23900.0,310.0,790.0,5473.0,1234.0,1128.0,572.0,114.0,126.0
132,Benewah,9641.0,41.0,397.0,2370.0,507.0,547.0,265.0,68.0,27.0
133,Bennett,3266.0,7.0,113.0,413.0,154.0,277.0,43.0,9.0,8.0
134,Bennington,36441.0,152.0,1103.0,6878.0,2054.0,5580.0,2255.0,570.0,280.0
135,Benson,6513.0,7.0,203.0,954.0,562.0,437.0,125.0,10.0,14.0
136,Bent,5749.0,51.0,866.0,1253.0,427.0,231.0,85.0,10.0,3.0
137,Benton,599973.0,3806.0,18739.0,92463.0,31923.0,73671.0,30496.0,5907.0,6992.0
138,Benzie,16004.0,76.0,481.0,3507.0,1032.0,1688.0,975.0,180.0,138.0
139,Bergen,926330.0,8297.0,10587.0,147636.0,36261.0,192015.0,79712.0,23036.0,10462.0
140,Berkeley,289966.0,1760.0,10231.0,54415.0,16956.0,26815.0,11518.0,1604.0,1084.0
141,Berks,412754.0,2935.0,12612.0,93331.0,21749.0,42252.0,17309.0,3095.0,1900.0
142,Berkshire,129288.0,920.0,3579.0,25953.0,8446.0,16578.0,9072.0,2258.0,1547.0
143,Bernalillo,671266.0,5713.0,18539.0,88167.0,34810.0,80458.0,45723.0,9992.0,10858.0
144,Berrien,187272.0,1212.0,5736.0,34834.0,12960.0,18641.0,9448.0,1936.0,1191.0
145,Bertie,21233.0,231.0,991.0,4957.0,1067.0,1095.0,258.0,107.0,49.0
146,Bethel Census Area,17764.0,73.0,630.0,3485.0,305.0,712.0,269.0,70.0,47.0
147,Bexar,1830408.0,22453.0,54804.0,235422.0,86566.0,196006.0,77655.0,20361.0,11746.0
148,Bibb,198484.0,1698.0,6934.0,37870.0,7604.0,16857.0,7337.0,2219.0,1478.0
149,Bienville,14623.0,97.0,556.0,3911.0,445.0,855.0,354.0,30.0,36.0
150,Big Horn,23776.0,49.0,716.0,4046.0,1422.0,1802.0,647.0,55.0,128.0
151,Big Stone,5397.0,29.0,131.0,1501.0,457.0,519.0,101.0,40.0,14.0
152,Billings,502.0,0.0,1.0,135.0,35.0,75.0,18.0,2.0,1.0
153,Bingham,43958.0,425.0,1241.0,6297.0,2311.0,3389.0,930.0,231.0,83.0
154,Black Hawk,131559.0,582.0,3981.0,22921.0,8999.0,14799.0,4975.0,1232.0,1319.0
155,Blackford,12671.0,62.0,459.0,3898.0,780.0,611.0,255.0,37.0,18.0
156,Bladen,31166.0,418.0,1204.0,5815.0,2264.0,2034.0,756.0,109.0,115.0
157,Blaine,38024.0,159.0,1105.0,5563.0,1983.0,6100.0,1722.0,248.0,305.0
158,Blair,128701.0,554.0,4200.0,39342.0,7571.0,11784.0,4306.0,864.0,653.0
159,Blanco,10165.0,250.0,467.0,1667.0,401.0,1481.0,490.0,127.0,81.0
160,Bland,6643.0,66.0,389.0,1630.0,424.0,592.0,131.0,0.0,69.0
161,Bleckley,13382.0,106.0,623.0,3144.0,575.0,741.0,399.0,54.0,102.0
162,Bledsoe,11150.0,96.0,1327.0,2190.0,338.0,519.0,329.0,71.0,22.0
163,Blount,160266.0,1215.0,6801.0,31085.0,9919.0,14858.0,5650.0,1485.0,782.0
164,Blue Earth,64964.0,125.0,1351.0,9122.0,4329.0,8153.0,2470.0,631.0,600.0
165,Boise,59103.0,167.0,1996.0,8057.0,3227.0,8785.0,2712.0,421.0,287.0
166,Bolivar,35183.0,352.0,1139.0,4540.0,1390.0,3052.0,1211.0,149.0,218.0
167,Bollinger,11142.0,47.0,487.0,3015.0,304.0,532.0,151.0,5.0,29.0
168,Bon Homme,7308.0,11.0,371.0,1644.0,586.0,758.0,170.0,26.0,62.0
169,Bond,18149.0,107.0,1090.0,3902.0,1087.0,1336.0,709.0,82.0,113.0
170,Bonner,39162.0,202.0,1436.0,7571.0,2353.0,4204.0,1317.0,407.0,182.0
171,Bonneville,107674.0,680.0,3320.0,14559.0,6930.0,12413.0,3732.0,686.0,867.0
172,Boone,506425.0,2499.0,14829.0,77638.0,25711.0,64764.0,27663.0,7418.0,6945.0
173,Borden,345.0,0.0,23.0,37.0,19.0,43.0,42.0,3.0,0.0
174,Bosque,18199.0,137.0,764.0,3641.0,749.0,1542.0,588.0,115.0,63.0
175,Bossier,120559.0,619.0,3759.0,19521.0,6425.0,12441.0,5507.0,990.0,625.0
176,Botetourt,55485.0,251.0,1732.0,11320.0,3662.0,7442.0,2443.0,263.0,329.0
177,Bottineau,6768.0,18.0,208.0,1312.0,529.0,753.0,153.0,40.0,30.0
178,Boulder,321524.0,1354.0,4527.0,22434.0,12596.0,66537.0,37118.0,7045.0,10482.0
179,Boundary,10961.0,132.0,523.0,2291.0,646.0,767.0,354.0,73.0,30.0
180,Bourbon,33616.0,255.0,1318.0,6560.0,2021.0,2759.0,1006.0,324.0,127.0
181,Bowie,93009.0,568.0,4657.0,17767.0,3963.0,7477.0,2706.0,940.0,296.0
182,Bowman,3530.0,5.0,59.0,681.0,334.0,439.0,103.0,15.0,2.0
183,Box Butte,11688.0,62.0,304.0,2290.0,952.0,893.0,326.0,40.0,0.0
184,Box Elder,50894.0,234.0,1513.0,8185.0,2610.0,4481.0,1534.0,239.0,127.0
185,Boyd,54926.0,189.0,2914.0,11051.0,3624.0,4353.0,2033.0,619.0,382.0
186,Boyle,30246.0,278.0,1472.0,5662.0,1585.0,2345.0,1519.0,392.0,252.0
187,Bracken,9291.0,92.0,452.0,2124.0,623.0,548.0,237.0,55.0,20.0
188,Bradford,84480.0,610.0,3891.0,23120.0,5205.0,6311.0,2344.0,506.0,245.0
189,Bradley,112777.0,850.0,5185.0,19917.0,5695.0,9603.0,3924.0,735.0,505.0
190,Branch,44072.0,275.0,2044.0,10338.0,2689.0,2681.0,1011.0,198.0,129.0
191,Brantley,16659.0,80.0,868.0,3970.0,621.0,524.0,301.0,130.0,17.0
192,Braxton,13305.0,103.0,830.0,3753.0,429.0,887.0,239.0,41.0,45.0
193,Brazoria,347858.0,3099.0,12691.0,44802.0,17665.0,41954.0,15655.0,4202.0,2913.0
194,Brazos,205021.0,1469.0,4551.0,16471.0,5655.0,21555.0,10816.0,2156.0,5791.0
195,Breathitt,12826.0,132.0,654.0,2447.0,604.0,438.0,443.0,102.0,9.0
196,Breckinridge,18684.0,181.0,1190.0,4358.0,891.0,518.0,535.0,59.0,3.0
197,Bremer,25202.0,56.0,487.0,5090.0,2039.0,3336.0,1023.0,192.0,144.0
198,Brevard,554125.0,3660.0,18401.0,98324.0,46141.0,68414.0,32055.0,5628.0,4660.0
199,Brewster,9235.0,94.0,205.0,1193.0,323.0,1489.0,827.0,80.0,158.0
200,Briscoe,1749.0,42.0,54.0,235.0,67.0,191.0,51.0,6.0,8.0
201,Bristol,602173.0,9003.0,18054.0,104852.0,36018.0,71418.0,31684.0,6376.0,4613.0
202,Bristol (city),29417.0,211.0,1570.0,5374.0,1424.0,3068.0,1047.0,203.0,259.0
203,Bristol Bay,1022.0,3.0,26.0,181.0,42.0,90.0,42.0,0.0,0.0
204,Broadwater,5077.0,16.0,169.0,1290.0,268.0,480.0,302.0,8.0,9.0
205,Bronx,1430052.0,33258.0,41710.0,203518.0,61872.0,111464.0,44378.0,9002.0,6036.0
206,Brooke,19601.0,53.0,503.0,5738.0,1092.0,1470.0,786.0,116.0,58.0
207,Brookings,32794.0,81.0,538.0,3885.0,1543.0,4701.0,1410.0,166.0,724.0
208,Brooks,19670.0,297.0,707.0,4186.0,520.0,1123.0,374.0,42.0,12.0
209,Broome,202783.0,1182.0,7461.0,35855.0,16374.0,20411.0,12603.0,2135.0,1759.0
210,Broomfield,19094.0,58.0,161.0,1282.0,898.0,4617.0,2358.0,463.0,386.0
211,Broward,1857329.0,20710.0,43100.0,314576.0,124561.0,254901.0,96539.0,31060.0,14613.0
212,Brown,432101.0,3035.0,12757.0,88103.0,29650.0,49329.0,14964.0,3323.0,1928.0
213,Brule,5163.0,16.0,142.0,953.0,433.0,591.0,201.0,42.0,37.0
214,Brunswick,132915.0,1277.0,4805.0,23648.0,9666.0,15845.0,6846.0,1226.0,860.0
215,Bryan,82416.0,517.0,2617.0,14581.0,3688.0,8500.0,3584.0,553.0,475.0
216,Buchanan,113468.0,838.0,4678.0,24975.0,5534.0,8344.0,2667.0,453.0,323.0
217,Buckingham,12679.0,208.0,1064.0,3085.0,367.0,784.0,144.0,59.0,73.0
218,Bucks,615093.0,2447.0,10438.0,121949.0,33255.0,98840.0,47135.0,9102.0,7534.0
219,Buena Vista,20716.0,277.0,429.0,3634.0,1146.0,1636.0,570.0,160.0,147.0
220,Buena Vista (city),8391.0,87.0,563.0,1704.0,299.0,564.0,180.0,42.0,43.0
221,Buffalo,64842.0,235.0,1164.0,10914.0,4053.0,8171.0,2449.0,476.0,551.0
222,Bullitt,60508.0,391.0,3566.0,13319.0,3370.0,4013.0,1727.0,362.0,152.0
223,Bulloch,67773.0,292.0,1320.0,7927.0,2357.0,6173.0,2817.0,688.0,1105.0
224,Bullock,10702.0,392.0,343.0,2050.0,240.0,521.0,318.0,135.0,33.0
225,Buncombe,250007.0,2050.0,8232.0,36244.0,15274.0,39539.0,17566.0,4180.0,2897.0
226,Bureau,33816.0,173.0,1143.0,8233.0,2315.0,2656.0,1119.0,338.0,126.0
227,Burke,104121.0,1633.0,4676.0,17961.0,7206.0,7160.0,3237.0,844.0,399.0
228,Burleigh,87729.0,220.0,2103.0,12314.0,8546.0,13862.0,4095.0,1247.0,872.0
229,Burleson,17186.0,179.0,941.0,3380.0,552.0,1180.0,448.0,60.0,81.0
230,Burlington,445289.0,2414.0,9360.0,81399.0,25098.0,72181.0,27781.0,6865.0,3694.0
231,Burnet,37108.0,258.0,1541.0,6463.0,1774.0,4061.0,1543.0,151.0,185.0
232,Burnett,13737.0,36.0,418.0,3739.0,1073.0,1249.0,474.0,65.0,53.0
233,Burt,6684.0,56.0,217.0,1653.0,598.0,581.0,159.0,60.0,6.0
234,Butler,720089.0,3656.0,20685.0,142993.0,41604.0,83773.0,34601.0,5172.0,5350.0
235,Butte,236434.0,2565.0,5317.0,30456.0,15058.0,26468.0,7903.0,2769.0,1533.0
236,Butts,26884.0,164.0,1419.0,6915.0,745.0,1268.0,409.0,268.0,29.0
237,Cabarrus,191636.0,1561.0,5358.0,31475.0,12542.0,22025.0,7135.0,1374.0,925.0
238,Cabell,111738.0,630.0,4312.0,20192.0,6105.0,10860.0,5954.0,1765.0,1048.0
239,Cache,117449.0,517.0,1329.0,11542.0,4391.0,14077.0,4847.0,687.0,1642.0
240,Caddo,31891.0,97.0,1379.0,7253.0,965.0,2386.0,837.0,40.0,49.0
241,Caddo Parish,257250.0,1710.0,8080.0,47404.0,10028.0,25623.0,10128.0,3397.0,1776.0
242,Calaveras,44695.0,296.0,1153.0,8117.0,3427.0,4858.0,1636.0,388.0,130.0
243,Calcasieu,203071.0,1667.0,7210.0,40339.0,9531.0,18992.0,5966.0,1572.0,704.0
244,Caldwell,150361.0,1371.0,7953.0,29345.0,7460.0,9568.0,3530.0,729.0,291.0
245,Caledonia,30491.0,76.0,881.0,6780.0,1789.0,3423.0,1723.0,375.0,256.0
246,Calhoun,363056.0,2807.0,15301.0,70743.0,20176.0,28045.0,11226.0,2060.0,1392.0
247,Callahan,12543.0,168.0,580.0,2840.0,490.0,988.0,250.0,46.0,12.0
248,Callaway,43101.0,429.0,1949.0,9062.0,1954.0,4069.0,1259.0,224.0,292.0
249,Calloway,37729.0,210.0,1340.0,5842.0,971.0,3671.0,1791.0,322.0,478.0
250,Calumet,25448.0,104.0,424.0,6817.0,1912.0,2668.0,741.0,103.0,54.0
251,Calvert,92187.0,238.0,2120.0,17370.0,4552.0,10703.0,5768.0,761.0,661.0
252,Camas,1007.0,3.0,17.0,188.0,47.0,98.0,25.0,3.0,3.0
253,Cambria,139983.0,902.0,4464.0,41716.0,9220.0,12177.0,4855.0,1431.0,676.0
254,Camden,631597.0,5917.0,15243.0,118984.0,32595.0,78627.0,30619.0,8968.0,4312.0
255,Cameron,425534.0,11311.0,11974.0,48368.0,14565.0,28995.0,7963.0,2247.0,1109.0
256,Camp,13892.0,97.0,715.0,2667.0,538.0,964.0,260.0,104.0,19.0
257,Campbell,217826.0,1318.0,10139.0,41757.0,11704.0,20071.0,7704.0,1805.0,1136.0
258,Canadian,117172.0,593.0,3559.0,18880.0,7122.0,14520.0,4062.0,788.0,490.0
259,Candler,11074.0,146.0,513.0,1968.0,413.0,726.0,223.0,90.0,62.0
260,Cannon,14797.0,92.0,847.0,3639.0,562.0,1144.0,285.0,63.0,52.0
261,Canyon,200821.0,2608.0,8694.0,29719.0,9502.0,15151.0,4959.0,598.0,796.0
262,Cape Girardeau,76605.0,418.0,2408.0,13196.0,2825.0,8954.0,3905.0,615.0,663.0
263,Cape May,96433.0,969.0,2374.0,21948.0,4963.0,13865.0,5613.0,1166.0,598.0
264,Carbon,112099.0,361.0,3851.0,27456.0,8159.0,9040.0,3768.0,620.0,476.0
265,Caribou,6915.0,2.0,230.0,1339.0,464.0,663.0,119.0,27.0,79.0
266,Carlisle,4968.0,25.0,212.0,1062.0,265.0,274.0,144.0,5.0,40.0
267,Carlton,37622.0,62.0,1208.0,8291.0,2754.0,4284.0,1184.0,204.0,130.0
268,Caroline,62105.0,455.0,1872.0,14367.0,2596.0,4731.0,1984.0,269.0,268.0
269,Carroll,534535.0,3726.0,18924.0,109496.0,27258.0,55054.0,23728.0,4781.0,3287.0
270,Carson,5689.0,11.0,187.0,828.0,338.0,619.0,328.0,9.0,44.0
271,Carson City (city),56298.0,536.0,2117.0,9182.0,3356.0,5033.0,2134.0,589.0,374.0
272,Carter,131870.0,784.0,5770.0,30341.0,5382.0,9087.0,3440.0,894.0,522.0
273,Carteret,63482.0,325.0,2553.0,10804.0,5216.0,7273.0,3048.0,724.0,512.0
274,Carver,90923.0,425.0,905.0,11847.0,5957.0,18442.0,5949.0,1041.0,633.0
275,Cascade,82195.0,224.0,2899.0,14681.0,4983.0,9635.0,3394.0,858.0,256.0
276,Casey,13633.0,174.0,1133.0,2491.0,696.0,472.0,411.0,133.0,43.0
277,Cass,448221.0,2547.0,12578.0,82055.0,30905.0,51231.0,16570.0,3630.0,3158.0
278,Cassia,23081.0,246.0,543.0,3166.0,1207.0,1666.0,483.0,154.0,82.0
279,Castro,7194.0,203.0,153.0,1338.0,145.0,445.0,129.0,30.0,10.0
280,Caswell,18036.0,223.0,1116.0,3556.0,1022.0,900.0,340.0,102.0,51.0
281,Catahoula,11121.0,66.0,459.0,2849.0,252.0,704.0,126.0,22.0,11.0
282,Catawba,162784.0,1786.0,5754.0,28257.0,10982.0,16272.0,5908.0,1387.0,507.0
283,Catoosa,49745.0,265.0,1883.0,8196.0,3704.0,4487.0,1634.0,599.0,221.0
284,Catron,3552.0,0.0,173.0,850.0,217.0,418.0,283.0,0.0,33.0
285,Cattaraugus,81868.0,603.0,4167.0,18652.0,6219.0,5644.0,3325.0,435.0,274.0
