,Zipcode,Place Name,State,State Abbreviation,County,Latitude,Longitude,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree
0,1001,Agawam,Massachusetts,MA,Hampden,42.0702,-72.6227,17423.0,69.0,3624.0,283.0,1342.0,2016.0,1353.0,121.0,116.0
1,1002,Amherst,Massachusetts,MA,Hampshire,42.3671,-72.4646,29970.0,212.0,1540.0,138.0,694.0,3161.0,2956.0,592.0,2040.0
2,1003,Amherst,Massachusetts,MA,Hampshire,42.3919,-72.5248,11296.0,0.0,0.0,7.0,0.0,3.0,10.0,1.0,1.0
3,1005,Barre,Massachusetts,MA,Worcester,42.4097,-72.1084,5228.0,0.0,1292.0,120.0,321.0,505.0,327.0,92.0,76.0
4,1007,Belchertown,Massachusetts,MA,Hampshire,42.2751,-72.411,14888.0,18.0,1946.0,305.0,978.0,2185.0,1455.0,228.0,387.0
5,1008,Blandford,Massachusetts,MA,Hampden,42.1829,-72.9361,1194.0,0.0,272.0,23.0,96.0,164.0,97.0,0.0,9.0
6,1009,Bondsville,Massachusetts,MA,Hampden,42.2061,-72.3405,237.0,23.0,63.0,7.0,8.0,34.0,0.0,0.0,0.0
7,1010,Brimfield,Massachusetts,MA,Hampden,42.1165,-72.1885,3718.0,17.0,631.0,51.0,390.0,601.0,357.0,40.0,35.0
8,1011,Chester,Massachusetts,MA,Hampden,42.2794,-72.9888,1523.0,3.0,386.0,40.0,126.0,145.0,46.0,10.0,3.0
9,1012,Chesterfield,Massachusetts,MA,Hampshire,42.3923,-72.8256,528.0,2.0,117.0,6.0,36.0,81.0,40.0,7.0,21.0
10,1013,Chicopee,Massachusetts,MA,Hampden,42.1487,-72.6079,22943.0,441.0,4824.0,817.0,1296.0,1706.0,867.0,71.0,103.0
11,1020,Chicopee,Massachusetts,MA,Hampden,42.1764,-72.5761,30629.0,405.0,7032.0,1432.0,2882.0,2569.0,1109.0,163.0,64.0
12,1022,Chicopee,Massachusetts,MA,Hampden,42.1934,-72.5544,2528.0,0.0,548.0,18.0,209.0,313.0,186.0,0.0,39.0
