Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
01001,17423.0,45.0,56714.0,30430.0,1462.0,8.391207025196579,9194.0,479.0,5.2099195127256905
01002,29970.0,23.2,48923.0,26072.0,8351.0,27.86453119786453,16451.0,1271.0,7.7259741049176345
01003,11296.0,19.9,2499.0,3829.0,54.0,0.4780453257790368,5279.0,1021.0,19.340784239439287
01005,5228.0,44.1,70568.0,32169.0,230.0,4.399387911247131,2988.0,153.0,5.120481927710843
01007,14888.0,42.5,80502.0,36359.0,1410.0,9.470714669532509,8593.0,543.0,6.319096939369254
01008,1194.0,48.5,67250.0,34505.0,49.0,4.1038525963149075,766.0,63.0,8.224543080939947
01009,237.0,62.2,-666666666.0,26150.0,105.0,44.30379746835443,122.0,0.0,0.0
01010,3718.0,46.6,83273.0,38693.0,95.0,2.555137170521786,2256.0,132.0,5.851063829787234
01011,1523.0,41.0,74722.0,29951.0,110.0,7.2225869993434015,894.0,55.0,6.152125279642058
01012,528.0,50.5,60417.0,34032.0,60.0,11.363636363636363,318.0,31.0,9.748427672955975
01013,22943.0,35.0,40876.0,21677.0,4233.0,18.450071917360415,11475.0,1097.0,9.5599128540305
01020,30629.0,44.5,57851.0,29705.0,3166.0,10.336609095954815,16655.0,1246.0,7.481236865806064
01022,2528.0,41.1,44701.0,26605.0,644.0,25.474683544303797,1235.0,129.0,10.445344129554655
01026,1018.0,51.2,50924.0,28269.0,45.0,4.4204322200392925,529.0,22.0,4.158790170132325
01027,17872.0,45.1,61217.0,33598.0,1774.0,9.92614145031334,10628.0,769.0,7.235604064734663
01028,16063.0,46.0,83003.0,39282.0,677.0,4.214654796737845,8492.0,474.0,5.581723975506359
01029,760.0,47.9,54375.0,32415.0,96.0,12.631578947368421,452.0,43.0,9.513274336283185
01030,11278.0,44.9,64874.0,32812.0,1124.0,9.966306082638766,6123.0,233.0,3.8053241874897927
01031,1192.0,43.2,39327.0,26153.0,268.0,22.483221476510067,643.0,98.0,15.241057542768274
01032,590.0,49.3,73750.0,36045.0,15.0,2.542372881355932,394.0,21.0,5.32994923857868
01033,6310.0,45.5,86951.0,39115.0,290.0,4.595879556259905,3742.0,140.0,3.7413148049171565
