,County,Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
0,Abbeville,20747.0,175629.0,83285.0,4669.0,22.50445847592423,8877.0,780.0,8.786752281176073
1,Acadia,61112.0,-1333005102.0,222347.0,12667.0,20.727516690666317,26488.0,2331.0,8.800211416490486
2,Accomack,33060.0,-7999144427.0,695920.0,6341.0,19.180278281911676,15206.0,1069.0,7.030119689596212
3,Ada,373433.0,830484.0,446184.0,46806.0,12.53397530480702,194615.0,10677.0,5.486216375921692
4,Adair,72700.0,-665947433.0,396053.0,17031.0,23.426409903713893,32271.0,1892.0,5.862848997551982
5,Adams,831891.0,-2662156028.0,-664481851.0,113485.0,13.641811246906146,422713.0,26306.0,6.223134845628121
6,Addison,36344.0,-665708878.0,-666181726.0,2949.0,8.114131631080785,20351.0,979.0,4.810574418947472
7,Aiken,166495.0,-666020362.0,374221.0,28139.0,16.90080783206703,78130.0,7820.0,10.008959426596698
8,Aitkin,15914.0,357217.0,205895.0,1972.0,12.391604876209627,6972.0,484.0,6.942053930005737
9,Alachua,268516.0,-665780781.0,484887.0,60292.0,22.453783014792414,131757.0,9390.0,7.126756073681094
10,Alamance,163481.0,-666264044.0,192823.0,28312.0,17.318220465986872,81987.0,5444.0,6.640077085391586
11,Alameda,1611207.0,-1329325697.0,2024276.0,189954.0,11.789546594571647,865661.0,61451.0,7.0987372655115575
12,Alamosa,16398.0,106487.0,59740.0,4802.0,29.28405903158922,6994.0,605.0,8.650271661424078
13,Albany,326664.0,-5331077838.0,-1331985979.0,46321.0,14.180013714397669,177327.0,10251.0,5.780845556514237
14,Albemarle,82037.0,880466.0,468063.0,7101.0,8.65585040896181,42482.0,1281.0,3.0153947554258274
15,Alcona,10061.0,351221.0,205495.0,1451.0,14.422025643574198,3693.0,397.0,10.7500676956404
16,Alcorn,36420.0,116599.0,59132.0,7282.0,19.9945085118067,16069.0,1259.0,7.834961727549941
17,Aleutians East,3299.0,285164.0,170166.0,510.0,15.459230069718096,2532.0,66.0,2.6066350710900474
18,Aleutians West (CA),5512.0,461607.0,203249.0,426.0,7.728592162554427,3966.0,45.0,1.13464447806354
19,Alexander,44113.0,-666384932.0,148004.0,8127.0,18.42314057080679,19722.0,1670.0,8.467701044518812
20,Alfalfa,5993.0,468878.0,242525.0,614.0,10.245286167195061,2400.0,103.0,4.291666666666667
