State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
02,Alaska,733375.0,33.4,72515.0,33413.0,72957.0,9.948116584284984,382393.0,31285.0,8.181373613010699
01,Alabama,4830620.0,38.4,43623.0,24091.0,887260.0,18.367414534780213,2229422.0,207097.0,9.289268698344234
05,Arkansas,2958208.0,37.7,41371.0,22798.0,553644.0,18.71551966595993,1361024.0,104943.0,7.710591437035644
04,Arizona,6641928.0,36.8,50255.0,25848.0,1180690.0,17.776314347279886,3089118.0,275712.0,8.925266046813363
06,California,38421464.0,35.8,61818.0,30318.0,6135142.0,15.968006841176068,19137441.0,1891081.0,9.881577165933523
08,Colorado,5278906.0,36.3,60629.0,32217.0,653969.0,12.388343342351616,2820014.0,195578.0,6.935355640078383
09,Connecticut,3593222.0,40.4,70331.0,38803.0,366351.0,10.195612739763922,1953709.0,172292.0,8.818713534103594
11,District of Columbia,647484.0,33.7,70848.0,47675.0,110365.0,17.045208839137338,373626.0,35811.0,9.58471840824782
10,Delaware,926454.0,39.3,60509.0,30554.0,108315.0,11.691352188020128,470039.0,36223.0,7.7063818108710125
12,Florida,19645772.0,41.4,47507.0,26829.0,3180109.0,16.187243748934886,9457267.0,915976.0,9.685419688372972
13,Georgia,10006693.0,35.9,49620.0,25737.0,1788947.0,17.877504586180468,4857206.0,468932.0,9.654356846302175
15,Hawaii,1406299.0,38.0,69515.0,29822.0,153944.0,10.946747455555327,695572.0,42288.0,6.079600673977676
19,Iowa,3093526.0,38.1,53183.0,27950.0,373883.0,12.085982144646595,1655245.0,81735.0,4.937939700769372
16,Idaho,1616547.0,35.5,47583.0,23399.0,245177.0,15.166710278142238,771173.0,55312.0,7.172450280287302
17,Illinois,12873761.0,37.3,57574.0,30494.0,1801118.0,13.990612378154294,6694742.0,608516.0,9.089461550572075
18,Indiana,6568645.0,37.3,49255.0,25346.0,978043.0,14.889570071148617,3297501.0,258739.0,7.846517711442695
20,Kansas,2892987.0,36.0,52205.0,27706.0,381353.0,13.181981115020566,1489651.0,88454.0,5.93790089087981
21,Kentucky,4397353.0,38.5,43740.0,24063.0,805841.0,18.325592691785264,2065689.0,174308.0,8.43824990112258
22,Louisiana,4625253.0,36.1,45047.0,24981.0,888280.0,19.20500348845782,2194199.0,178150.0,8.119135958042092
25,Massachusetts,6705586.0,39.3,68563.0,36895.0,748905.0,11.168375142754115,3696139.0,280164.0,7.579909738243069
24,Maryland,5930538.0,38.2,74551.0,36897.0,576805.0,9.726014739303585,3214531.0,238027.0,7.404719382080932
23,Maine,1329100.0,43.8,49331.0,27655.0,180278.0,13.563915431494996,696184.0,47497.0,6.8224779655953025
26,Michigan,9900571.0,39.5,49576.0,26607.0,1616870.0,16.331078278212438,4851264.0,477746.0,9.84786645294917
27,Minnesota,5419171.0,37.7,61492.0,32157.0,596662.0,11.010208018901784,2994959.0,167764.0,5.60154579745499
29,Missouri,6045448.0,38.2,48173.0,26259.0,915972.0,15.151432945912363,3034524.0,226528.0,7.465025816240043
28,Mississippi,2988081.0,36.5,39665.0,21057.0,651545.0,21.80479712564686,1342359.0,138445.0,10.313559934413968
30,Montana,1014699.0,39.7,47169.0,26381.0,150586.0,14.840460077323423,517807.0,32361.0,6.249625825838585
