State,Name,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree,High School and above
02,Alaska,733375.0,2977.0,105527.0,23797.0,37719.0,83201.0,33447.0,8271.0,5002.0,296964.0
01,Alabama,4830620.0,41876.0,826272.0,179023.0,251335.0,478812.0,201997.0,48509.0,32332.0,2018280.0
05,Arkansas,2958208.0,23014.0,564438.0,120839.0,123526.0,267741.0,103397.0,24613.0,18348.0,1222902.0
04,Arizona,6641928.0,59117.0,887064.0,176701.0,370569.0,753425.0,321027.0,73284.0,51274.0,2633344.0
06,California,38421464.0,652517.0,4661300.0,570524.0,1970322.0,5002596.0,1965005.0,583790.0,387793.0,15141330.0
08,Colorado,5278906.0,31777.0,631548.0,135777.0,292801.0,847977.0,360853.0,76126.0,57051.0,2402133.0
09,Connecticut,3593222.0,25683.0,594793.0,79180.0,183289.0,516001.0,297270.0,71852.0,40484.0,1782869.0
11,District of Columbia,647484.0,5198.0,69678.0,12019.0,14040.0,105880.0,85795.0,37856.0,18221.0,343489.0
10,Delaware,926454.0,7295.0,174291.0,21945.0,47604.0,112141.0,55594.0,11160.0,10467.0,433202.0
12,Florida,19645772.0,198004.0,3491793.0,582459.0,1296844.0,2418555.0,932223.0,274741.0,154629.0,9151244.0
13,Georgia,10006693.0,85137.0,1529871.0,316053.0,465465.0,1178186.0,490540.0,126049.0,78709.0,4184873.0
15,Hawaii,1406299.0,10231.0,245959.0,22377.0,98882.0,196010.0,66155.0,21744.0,12805.0,663932.0
19,Iowa,3093526.0,14467.0,577079.0,83169.0,227328.0,372434.0,120585.0,30992.0,22403.0,1433990.0
16,Idaho,1616547.0,11099.0,230642.0,52594.0,94717.0,182235.0,58882.0,14819.0,10653.0,644542.0
17,Illinois,12873761.0,101111.0,1999566.0,308743.0,658904.0,1711787.0,778362.0,183531.0,104191.0,5745084.0
18,Indiana,6568645.0,39319.0,1272879.0,221423.0,355635.0,664747.0,275285.0,57184.0,43040.0,2890193.0
20,Kansas,2892987.0,15846.0,425864.0,79719.0,148723.0,374220.0,150913.0,33202.0,21879.0,1234520.0
21,Kentucky,4397353.0,32837.0,788112.0,205741.0,221409.0,386554.0,196117.0,48471.0,27802.0,1874206.0
22,Louisiana,4625253.0,38508.0,870720.0,160436.0,168460.0,451042.0,158826.0,47541.0,27903.0,1884928.0
25,Massachusetts,6705586.0,63105.0,1035769.0,133606.0,357133.0,1049150.0,572191.0,130296.0,115466.0,3393611.0
24,Maryland,5930538.0,41611.0,905176.0,121424.0,256254.0,826439.0,478941.0,116644.0,100946.0,2805824.0
23,Maine,1329100.0,5683.0,266649.0,49907.0,90595.0,178375.0,69366.0,16387.0,12033.0,683312.0
26,Michigan,9900571.0,72158.0,1722171.0,266211.0,595198.0,1094936.0,512955.0,110322.0,73679.0,4375472.0
27,Minnesota,5419171.0,38827.0,833028.0,113658.0,390242.0,818315.0,284110.0,75497.0,47323.0,2562173.0
29,Missouri,6045448.0,32874.0,1079150.0,187770.0,299637.0,685454.0,300193.0,67389.0,45873.0,2665466.0
28,Mississippi,2988081.0,27994.0,469777.0,117809.0,166725.0,251230.0,106977.0,25040.0,17753.0,1155311.0
30,Montana,1014699.0,2786.0,175079.0,32947.0,57894.0,138099.0,44936.0,11867.0,8546.0,469368.0
37,North Carolina,9845333.0,83514.0,1469226.0,286769.0,589399.0,1213587.0,467519.0,101314.0,84345.0,4212159.0
38,North Dakota,721640.0,2701.0,110867.0,17381.0,61952.0,93946.0,23929.0,6309.0,5350.0,319734.0
31,Nebraska,1869365.0,13074.0,292881.0,41568.0,120763.0,238158.0,82229.0,20794.0,14655.0,811048.0
33,New Hampshire,1324201.0,5450.0,228481.0,37962.0,88681.0,202048.0,90834.0,16109.0,13755.0,677870.0
34,New Jersey,8904413.0,79688.0,1586195.0,155367.0,385049.0,1387201.0,615746.0,148177.0,90732.0,4368467.0
35,New Mexico,2084117.0,18345.0,298130.0,63194.0,107215.0,202298.0,110788.0,21734.0,25255.0,828614.0
32,Nevada,2798636.0,28887.0,457309.0,74806.0,147840.0,285510.0,102243.0,29472.0,16273.0,1113453.0
36,New York,19673174.0,248247.0,3080068.0,508826.0,1144351.0,2604077.0,1433296.0,365654.0,193097.0,9329369.0
39,Ohio,11575977.0,68837.0,2369349.0,299967.0,643162.0,1278763.0,554000.0,124512.0,82753.0,5352506.0
40,Oklahoma,3849733.0,23211.0,670376.0,125765.0,182135.0,405388.0,143223.0,33669.0,23949.0,1584505.0
41,Oregon,3939233.0,28591.0,535540.0,123579.0,228892.0,522634.0,218853.0,54779.0,38791.0,1723068.0
42,Pennsylvania,12779559.0,86400.0,2855340.0,352649.0,698397.0,1535222.0,702244.0,165557.0,119014.0,6428423.0
72,Puerto Rico,3583073.0,65607.0,587669.0,66090.0,224326.0,420722.0,110715.0,29771.0,22364.0,1461657.0
44,Rhode Island,1053661.0,11223.0,165067.0,31921.0,61060.0,137505.0,65026.0,15246.0,12040.0,487865.0
45,South Carolina,4777576.0,37053.0,813461.0,142197.0,287271.0,530349.0,221384.0,45090.0,32717.0,2072469.0
46,South Dakota,843190.0,3094.0,148025.0,24497.0,59036.0,104728.0,30862.0,7085.0,6126.0,380359.0
47,Tennessee,6499615.0,50158.0,1176200.0,269266.0,287483.0,696512.0,274650.0,69535.0,51579.0,2825225.0
48,Texas,26538614.0,325670.0,3456053.0,764264.0,1119055.0,3054382.0,1134567.0,256346.0,177921.0,9962588.0
49,Utah,2903379.0,12943.0,340490.0,47636.0,160275.0,347460.0,122889.0,27671.0,23017.0,1069438.0
51,Virginia,8256630.0,66122.0,1162016.0,219735.0,403610.0,1167357.0,624786.0,135221.0,94853.0,3807578.0
50,Vermont,626604.0,2372.0,115563.0,15707.0,36581.0,94705.0,44184.0,10322.0,7807.0,324869.0
53,Washington,6985464.0,52663.0,910601.0,187238.0,460415.0,986653.0,401488.0,96813.0,67176.0,3110384.0
55,Wisconsin,5742117.0,33034.0,1101435.0,138088.0,390482.0,713858.0,261565.0,60886.0,41387.0,2707701.0
54,West Virginia,1851420.0,11071.0,442151.0,86404.0,85558.0,152377.0,69161.0,16676.0,10459.0,862786.0
56,Wyoming,579679.0,1049.0,93161.0,19711.0,39555.0,65787.0,23501.0,4932.0,4580.0,251227.0
