State,Name,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree,High School and above
01,Alabama,4799277.0,40711.0,818315.0,173415.0,236473.0,458393.0,187852.0,45646.0,30801.0,1950895.0
02,Alaska,720316.0,2796.0,101267.0,22792.0,36351.0,80447.0,31988.0,7431.0,5068.0,285344.0
04,Arizona,6479703.0,52419.0,863210.0,168804.0,350503.0,716734.0,296979.0,69819.0,48203.0,2514252.0
05,Arkansas,2933369.0,22954.0,561542.0,117797.0,119038.0,257157.0,93456.0,23201.0,15503.0,1187694.0
06,California,37659181.0,598141.0,4525094.0,540940.0,1895918.0,4753446.0,1821325.0,565907.0,360357.0,14462987.0
08,Colorado,5119329.0,29018.0,621098.0,129139.0,276955.0,799431.0,330767.0,72800.0,51826.0,2282016.0
09,Connecticut,3583561.0,23600.0,600317.0,78053.0,178597.0,498124.0,283662.0,70744.0,38390.0,1747887.0
10,Delaware,908446.0,6361.0,172876.0,21001.0,44444.0,105108.0,50483.0,11201.0,9745.0,414858.0
11,District of Columbia,619371.0,4818.0,69105.0,11858.0,12958.0,97641.0,74657.0,36137.0,16848.0,319204.0
12,Florida,19091156.0,183723.0,3400290.0,563937.0,1188081.0,2253937.0,854996.0,265198.0,141781.0,8668220.0
13,Georgia,9810417.0,81690.0,1511144.0,306208.0,438989.0,1121880.0,453219.0,121272.0,71463.0,4024175.0
15,Hawaii,1376298.0,10126.0,240803.0,22861.0,92512.0,186379.0,63311.0,20481.0,12321.0,638668.0
16,Idaho,1583364.0,10194.0,228031.0,50615.0,87761.0,172377.0,54722.0,13830.0,9964.0,617300.0
17,Illinois,12848554.0,95087.0,2006238.0,302748.0,632569.0,1657947.0,739404.0,180829.0,97616.0,5617351.0
18,Indiana,6514861.0,37569.0,1286939.0,213763.0,334834.0,632094.0,258886.0,55880.0,40860.0,2823256.0
19,Iowa,3062553.0,13765.0,584805.0,81566.0,215049.0,359520.0,112200.0,29132.0,20867.0,1403139.0
20,Kansas,2868107.0,13924.0,429339.0,79313.0,140680.0,363386.0,143301.0,32858.0,20270.0,1209147.0
21,Kentucky,4361333.0,32009.0,786950.0,202117.0,206790.0,372738.0,183161.0,47346.0,25428.0,1824530.0
22,Louisiana,4567968.0,38757.0,859082.0,155487.0,154171.0,433526.0,144867.0,45547.0,26235.0,1818915.0
23,Maine,1328320.0,5597.0,270456.0,49276.0,86337.0,169061.0,66849.0,16746.0,10964.0,669689.0
24,Maryland,5834299.0,39708.0,899158.0,117185.0,245871.0,789022.0,445990.0,114423.0,94483.0,2706132.0
25,Massachusetts,6605058.0,60405.0,1032315.0,131423.0,348097.0,1006270.0,538224.0,124858.0,106970.0,3288157.0
26,Michigan,9886095.0,69695.0,1745288.0,260945.0,564950.0,1049930.0,486283.0,106937.0,67068.0,4281401.0
