State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employable Count,Unemployment Count,Unemployment Rate
01,Alabama,4799277.0,38.1,43253.0,23680.0,870631.0,18.140878303127742,2244093.0,241930.0,10.780747500215009
02,Alaska,720316.0,33.6,70760.0,32651.0,69514.0,9.650486730823694,376305.0,32939.0,8.75327194695792
04,Arizona,6479703.0,36.3,49774.0,25358.0,1131901.0,17.46840866008828,3038226.0,316360.0,10.41265527975865
05,Arkansas,2933369.0,37.5,40768.0,22170.0,547328.0,18.658682218295755,1366667.0,121235.0,8.87085149491427
06,California,37659181.0,35.4,61094.0,29527.0,5885417.0,15.628106729139967,18804519.0,2168665.0,11.532679990378908
08,Colorado,5119329.0,36.1,58433.0,31109.0,660874.0,12.909387148198524,2741518.0,231741.0,8.453017634755636
09,Connecticut,3583561.0,40.2,69461.0,37892.0,354348.0,9.888153152688066,1950121.0,190709.0,9.779341897246375
10,Delaware,908446.0,38.9,59878.0,29819.0,103633.0,11.40772263843971,463216.0,41207.0,8.895849884287244
11,District of Columbia,619371.0,33.8,65830.0,45290.0,109200.0,17.630789946574833,354171.0,38994.0,11.009935878431605
12,Florida,19091156.0,41.0,46956.0,26236.0,3052807.0,15.990686996638653,9298664.0,1096028.0,11.786940575549348
13,Georgia,9810417.0,35.6,49179.0,25182.0,1736680.0,17.702407553114206,4799681.0,544802.0,11.350796021652272
15,Hawaii,1376298.0,38.3,67402.0,29305.0,149531.0,10.864725517293493,688820.0,48748.0,7.077030283673529
16,Idaho,1583364.0,34.9,46767.0,22568.0,240298.0,15.176421846145296,763379.0,67189.0,8.801525847580297
17,Illinois,12848554.0,36.8,56797.0,29666.0,1772333.0,13.79402693875124,6698936.0,700616.0,10.458616114559089
18,Indiana,6514861.0,37.1,48248.0,24635.0,969881.0,14.887209412449476,3279355.0,315476.0,9.620062481799012
19,Iowa,3062553.0,38.1,51843.0,27027.0,367414.0,11.996984215456843,1647943.0,94913.0,5.759483186008254
20,Kansas,2868107.0,36.0,51332.0,26929.0,382820.0,13.34747971397162,1491412.0,104341.0,6.996121795989304
21,Kentucky,4361333.0,38.2,43036.0,23462.0,796202.0,18.255932303265997,2059754.0,201987.0,9.806365226138656
22,Louisiana,4567968.0,36.0,44874.0,24442.0,846780.0,18.53734527036967,2187544.0,192166.0,8.784554733527646
23,Maine,1328320.0,43.2,48453.0,26824.0,175624.0,13.221512888460612,700965.0,53866.0,7.684549157233243
24,Maryland,5834299.0,38.0,73538.0,36354.0,558329.0,9.569770078633269,3186765.0,260567.0,8.17653639348995
25,Massachusetts,6605058.0,39.2,66866.0,35763.0,725351.0,10.981750652303129,3631277.0,322730.0,8.887507067073098
26,Michigan,9886095.0,39.1,48411.0,25681.0,1625982.0,16.44716139183368,4859417.0,616469.0,12.686069131338183
27,Minnesota,5347740.0,37.6,59836.0,30913.0,598391.0,11.189605328606103,2958989.0,210815.0,7.124561801344987
28,Mississippi,2976872.0,36.2,39031.0,20618.0,653321.0,21.946560013329428,1343584.0,149148.0,11.100757377283445
29,Missouri,6007182.0,38.0,47380.0,25649.0,900929.0,14.997531288381142,3038261.0,267644.0,8.809118110656064
30,Montana,998554.0,39.9,46230.0,25373.0,148528.0,14.874308249729108,514717.0,37702.0,7.324801784281459
31,Nebraska,1841625.0,36.3,51672.0,26899.0,228789.0,12.423213194868662,1006226.0,57525.0,5.71690653988269
32,Nevada,2730066.0,36.6,52800.0,26589.0,403314.0,14.773049442760724,1404746.0,175142.0,12.467876754943598
33,New Hampshire,1319171.0,41.5,64916.0,33134.0,110859.0,8.403686860914924,742439.0,51670.0,6.959494315357895
34,New Jersey,8832406.0,39.1,71629.0,36027.0,900583.0,10.196349669614373,4669577.0,472094.0,10.109994973848808
35,New Mexico,2069706.0,36.7,44927.0,23763.0,413801.0,19.99322609104868,970934.0,94111.0,9.692831850568627
36,New York,19487053.0,38.1,58003.0,32382.0,2903982.0,14.902109621193107,9984364.0,921607.0,9.230502814200284
37,North Carolina,9651380.0,37.6,46334.0,25284.0,1643389.0,17.027502802708007,4762407.0,527430.0,11.074861934311787
38,North Dakota,689781.0,36.4,53741.0,29732.0,79433.0,11.515683963460866,384229.0,12617.0,3.2837188239305206
