State,Name,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree,High School and above
01,Alabama,4817678.0,41671.0,824979.0,174782.0,243873.0,465268.0,196935.0,47795.0,31815.0,1985447.0
02,Alaska,728300.0,2924.0,103345.0,23266.0,37684.0,82261.0,32681.0,7370.0,5126.0,291733.0
04,Arizona,6561516.0,55703.0,877163.0,172916.0,360743.0,733845.0,306410.0,71569.0,49252.0,2571898.0
05,Arkansas,2947036.0,22572.0,564546.0,117905.0,121464.0,263299.0,98442.0,24187.0,16663.0,1206506.0
06,California,38066920.0,624808.0,4597854.0,555403.0,1934950.0,4870524.0,1889640.0,575093.0,373652.0,14797116.0
08,Colorado,5197580.0,30061.0,626538.0,132797.0,284385.0,819675.0,344986.0,73307.0,55716.0,2337404.0
09,Connecticut,3592053.0,24122.0,599157.0,78730.0,180321.0,506662.0,290414.0,71488.0,39987.0,1766759.0
10,Delaware,917060.0,6795.0,174313.0,21493.0,45599.0,108647.0,52733.0,11146.0,10238.0,424169.0
11,District of Columbia,633736.0,4996.0,70158.0,12373.0,13854.0,103179.0,79033.0,37053.0,17109.0,332759.0
12,Florida,19361792.0,189444.0,3452667.0,571385.0,1242532.0,2324792.0,889974.0,267663.0,146998.0,8896011.0
13,Georgia,9907756.0,84070.0,1518683.0,313403.0,451537.0,1148710.0,468554.0,122826.0,74803.0,4098516.0
15,Hawaii,1392704.0,10484.0,244864.0,22549.0,94296.0,191712.0,64657.0,20733.0,12638.0,651449.0
16,Idaho,1599464.0,10690.0,230252.0,51348.0,90951.0,176651.0,56312.0,14796.0,10355.0,630665.0
17,Illinois,12868747.0,98533.0,2005096.0,306922.0,643082.0,1688420.0,757345.0,181769.0,102400.0,5685034.0
18,Indiana,6542411.0,39423.0,1283193.0,215785.0,345740.0,647692.0,268080.0,55789.0,41235.0,2857514.0
19,Iowa,3078116.0,14295.0,580554.0,82293.0,220869.0,366812.0,117991.0,30338.0,22164.0,1421021.0
20,Kansas,2882946.0,15540.0,426851.0,79109.0,145245.0,370031.0,147219.0,33406.0,21229.0,1223090.0
21,Kentucky,4383272.0,32662.0,788478.0,203042.0,214363.0,377949.0,188011.0,47619.0,26453.0,1845915.0
22,Louisiana,4601049.0,39694.0,863755.0,158411.0,160591.0,441765.0,150807.0,46033.0,27441.0,1848803.0
23,Maine,1328535.0,5709.0,268246.0,49771.0,88305.0,173294.0,68173.0,15935.0,11478.0,675202.0
24,Maryland,5887776.0,40294.0,904381.0,118530.0,252220.0,805699.0,462118.0,116377.0,97584.0,2756909.0
25,Massachusetts,6657291.0,63680.0,1033017.0,132901.0,352173.0,1030633.0,555666.0,127450.0,109687.0,3341527.0
26,Michigan,9889024.0,71758.0,1734029.0,263590.0,580404.0,1068984.0,499269.0,109396.0,71017.0,4326689.0
27,Minnesota,5383661.0,35915.0,838954.0,112399.0,378366.0,801653.0,273587.0,73959.0,44713.0,2523631.0
28,Mississippi,2984345.0,27127.0,469810.0,113823.0,163693.0,248884.0,103269.0,24389.0,17222.0,1141090.0
29,Missouri,6028076.0,31490.0,1079905.0,185576.0,290937.0,672563.0,289158.0,67607.0,44714.0,2630460.0
30,Montana,1006370.0,2850.0,171310.0,32515.0,56669.0,135759.0,42640.0,12095.0,8334.0,459322.0
31,Nebraska,1855617.0,12149.0,293816.0,41615.0,117462.0,235747.0,78898.0,20334.0,14064.0,801936.0
32,Nevada,2761584.0,26266.0,457088.0,72353.0,140692.0,274707.0,97428.0,29096.0,15197.0,1086561.0
33,New Hampshire,1321069.0,5525.0,230715.0,36644.0,88466.0,197937.0,88205.0,16110.0,13540.0,671617.0
34,New Jersey,8874374.0,75464.0,1589736.0,153531.0,379962.0,1362013.0,602487.0,146130.0,89508.0,4323367.0
35,New Mexico,2080085.0,18614.0,297629.0,60378.0,104758.0,201686.0,107547.0,21055.0,24483.0,817536.0
36,New York,19594330.0,241435.0,3091743.0,499769.0,1130032.0,2544961.0,1396536.0,361362.0,186554.0,9210957.0
37,North Carolina,9750405.0,80704.0,1462439.0,281877.0,573109.0,1185011.0,442291.0,97856.0,80101.0,4122684.0
38,North Dakota,704925.0,2615.0,108382.0,17238.0,59512.0,90032.0,24064.0,6333.0,4848.0,310409.0
39,Ohio,11560380.0,66013.0,2384432.0,297600.0,627729.0,1252463.0,537384.0,122786.0,81230.0,5303624.0
40,Oklahoma,3818851.0,21963.0,663696.0,125580.0,177796.0,396647.0,139633.0,34029.0,22557.0,1559938.0
41,Oregon,3900343.0,27209.0,535347.0,121776.0,220247.0,505798.0,208552.0,53369.0,37356.0,1682445.0
42,Pennsylvania,12758729.0,85128.0,2872856.0,348332.0,677250.0,1502205.0,680881.0,163726.0,115989.0,6361239.0
