State,Name,Population,None,High School Degree,GED,Associate Degree,Bachelor Degree,Masters Degree,Professional Degree,Doctorate Degree,High School and above
01,Alabama,4841164.0,42577.0,828205.0,181388.0,258502.0,492382.0,208839.0,49283.0,32572.0,2051171.0
02,Alaska,736855.0,3020.0,106169.0,24342.0,39133.0,86551.0,35423.0,8522.0,5029.0,305169.0
04,Arizona,6728577.0,62538.0,898657.0,179701.0,379207.0,777681.0,333226.0,76987.0,53531.0,2698990.0
05,Arkansas,2968472.0,23010.0,561132.0,122754.0,127004.0,273557.0,108055.0,24517.0,18317.0,1235336.0
06,California,38654206.0,673089.0,4678279.0,582625.0,1995579.0,5136043.0,2045487.0,597874.0,397083.0,15432970.0
08,Colorado,5359295.0,32415.0,639310.0,140723.0,301602.0,874953.0,376273.0,79545.0,58959.0,2471365.0
09,Connecticut,3588570.0,24315.0,593793.0,79427.0,184426.0,524370.0,300566.0,72543.0,40840.0,1795965.0
10,Delaware,934695.0,7100.0,176928.0,22533.0,49591.0,115770.0,57237.0,11650.0,10664.0,444373.0
11,District of Columbia,659009.0,5004.0,71315.0,12052.0,14496.0,108252.0,90366.0,38536.0,19162.0,354179.0
12,Florida,19934451.0,205055.0,3516434.0,594595.0,1348226.0,2514297.0,972529.0,285100.0,157870.0,9389051.0
13,Georgia,10099320.0,88872.0,1528586.0,322015.0,484768.0,1208700.0,515377.0,131058.0,82955.0,4273459.0
15,Hawaii,1413673.0,10437.0,248106.0,22477.0,100990.0,201712.0,67433.0,22331.0,13725.0,676774.0
16,Idaho,1635483.0,10709.0,234652.0,54433.0,97833.0,187399.0,60596.0,15684.0,11305.0,661902.0
17,Illinois,12851684.0,102947.0,1975231.0,311895.0,671821.0,1744260.0,800474.0,183437.0,106698.0,5793816.0
18,Indiana,6589578.0,39122.0,1261742.0,224309.0,364277.0,681986.0,283692.0,59629.0,42755.0,2918390.0
19,Iowa,3106589.0,14401.0,573723.0,82957.0,231629.0,379649.0,124692.0,32007.0,23083.0,1447740.0
20,Kansas,2898292.0,16010.0,421417.0,78478.0,152963.0,380391.0,156690.0,34492.0,22228.0,1246659.0
21,Kentucky,4411989.0,32514.0,786862.0,203460.0,231405.0,397154.0,199251.0,49576.0,28184.0,1895892.0
22,Louisiana,4645670.0,38944.0,876224.0,162367.0,174294.0,461804.0,163465.0,49436.0,29170.0,1916760.0
23,Maine,1329923.0,5494.0,267967.0,49406.0,93123.0,180436.0,71209.0,16655.0,12270.0,691066.0
24,Maryland,5959902.0,44749.0,904895.0,125410.0,259899.0,838732.0,495667.0,119853.0,102459.0,2846915.0
25,Massachusetts,6742143.0,64175.0,1032460.0,134638.0,359774.0,1072120.0,591993.0,133860.0,118833.0,3443678.0
26,Michigan,9909600.0,72694.0,1710082.0,268580.0,608429.0,1117697.0,526378.0,111392.0,76331.0,4418889.0
27,Minnesota,5450868.0,40252.0,825855.0,114460.0,401968.0,834294.0,292979.0,76625.0,50039.0,2596220.0
28,Mississippi,2989192.0,26988.0,472088.0,121334.0,170289.0,255615.0,110498.0,25455.0,18323.0,1173602.0
29,Missouri,6059651.0,33236.0,1079050.0,188763.0,307566.0,701863.0,308835.0,68040.0,46927.0,2701044.0
30,Montana,1023391.0,2919.0,175084.0,32845.0,60424.0,140945.0,47154.0,12665.0,8308.0,477425.0
31,Nebraska,1881259.0,13559.0,288518.0,42111.0,123619.0,245288.0,85582.0,21322.0,14591.0,821031.0
32,Nevada,2839172.0,30124.0,466140.0,78148.0,152171.0,293579.0,105755.0,29702.0,16525.0,1142020.0
33,New Hampshire,1327503.0,5410.0,225743.0,38629.0,91327.0,206061.0,94043.0,17204.0,13368.0,686375.0
34,New Jersey,8915456.0,79716.0,1568935.0,157071.0,390672.0,1411979.0,635445.0,150681.0,91936.0,4406719.0
35,New Mexico,2082669.0,18356.0,298867.0,63760.0,110974.0,206247.0,113426.0,21909.0,24656.0,839839.0
36,New York,19697457.0,256347.0,3050606.0,518848.0,1164307.0,2654203.0,1465968.0,372231.0,199044.0,9425207.0
37,North Carolina,9940828.0,83383.0,1470346.0,295426.0,607780.0,1255557.0,492734.0,104995.0,87149.0,4313987.0
38,North Dakota,736162.0,2659.0,113229.0,17857.0,63894.0,97890.0,25032.0,6372.0,5260.0,329534.0
39,Ohio,11586941.0,68548.0,2352099.0,302041.0,658910.0,1310995.0,571298.0,126124.0,84458.0,5405925.0
40,Oklahoma,3875589.0,24165.0,674234.0,127364.0,187963.0,413818.0,147982.0,34195.0,24120.0,1609676.0
41,Oregon,3982267.0,29374.0,531494.0,126026.0,234336.0,538977.0,228435.0,57683.0,41278.0,1758229.0
42,Pennsylvania,12783977.0,87634.0,2831106.0,352143.0,712180.0,1578040.0,725919.0,168216.0,123775.0,6491379.0
44,Rhode Island,1054491.0,10971.0,167868.0,32780.0,61626.0,140296.0,66860.0,15365.0,12707.0,497502.0
45,South Carolina,4834605.0,37090.0,818122.0,144900.0,299118.0,551968.0,231904.0,46665.0,34520.0,2127197.0
46,South Dakota,851058.0,3401.0,147109.0,24514.0,61483.0,107762.0,31029.0,7576.0,6418.0,385891.0
47,Tennessee,6548009.0,50460.0,1180447.0,271155.0,301681.0,712781.0,286087.0,71678.0,51870.0,2875699.0
48,Texas,26956435.0,333777.0,3512336.0,773790.0,1160660.0,3158468.0,1193252.0,264500.0,184457.0,10247463.0
49,Utah,2948427.0,13450.0,343976.0,49508.0,166445.0,358887.0,128852.0,29082.0,23900.0,1100650.0
50,Vermont,626249.0,2426.0,114813.0,15841.0,37454.0,94823.0,44724.0,10898.0,7780.0,326333.0
51,Virginia,8310301.0,68478.0,1154899.0,223120.0,413611.0,1191485.0,646798.0,137081.0,98277.0,3865271.0
53,Washington,7073146.0,54750.0,911101.0,190055.0,469700.0,1022117.0,419011.0,100222.0,70809.0,3183015.0
54,West Virginia,1846092.0,11212.0,437243.0,87728.0,87889.0,153834.0,72391.0,16701.0,10780.0,866566.0
55,Wisconsin,5754798.0,33041.0,1093662.0,139558.0,401314.0,729499.0,269368.0,62625.0,42590.0,2738616.0
56,Wyoming,583029.0,1102.0,93152.0,19780.0,41392.0,66753.0,23915.0,5187.0,4819.0,254998.0
